step,pre_disaster_action,flood_target,action,reward,done,hub_states,city_states
1,0,B1,"[2, 1, 1]",-33.4,False,"{'B1': {'severe': 0, 'medium': 70, 'normal': 1000, 'food': 880.0, 'med': 476.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 130, 'normal': 1200, 'food': 620.0, 'med': 464.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 40, 'normal': 900, 'food': 1010.0, 'med': 482.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 100, 'medium_remaining': 200, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
2,0,B1,"[2, 1, 1]",-131.9,False,"{'B1': {'severe': 0, 'medium': 20, 'normal': 1000, 'food': 0.0, 'med': 462.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 80, 'normal': 1200, 'food': 0.0, 'med': 438.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 890, 'food': 70.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 100, 'medium_remaining': 200, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
3,0,B1,"[2, 1, 1]",-180.4,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 970, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 30, 'normal': 1200, 'food': 0.0, 'med': 422.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 840, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 100, 'medium_remaining': 200, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
4,0,B1,"[2, 1, 1]",-178.9,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 920, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 1180, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 790, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 100, 'medium_remaining': 200, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
5,0,B1,"[2, 1, 1]",-177.4,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 870, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 1130, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 740, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 100, 'medium_remaining': 200, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
6,0,B1,"[2, 1, 1]",-175.9,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 820, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 1080, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 690, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 100, 'medium_remaining': 200, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
7,0,B1,"[2, 1, 1]",3225.6,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 770, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 1030, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 640, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 30, 'medium': 20, 'normal': 0, 'severe_remaining': 70, 'medium_remaining': 180, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
8,0,B1,"[2, 1, 1]",827.1,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 720, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 980, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 590, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 30, 'medium': 70, 'normal': 0, 'severe_remaining': 70, 'medium_remaining': 130, 'normal_remaining': 800}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
9,0,B1,"[2, 1, 1]",1428.6,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 670, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 930, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 540, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 30, 'medium': 150, 'normal': 20, 'severe_remaining': 70, 'medium_remaining': 50, 'normal_remaining': 780}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
10,0,B1,"[2, 1, 1]",-169.9,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 620, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 880, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 490, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 30, 'medium': 150, 'normal': 70, 'severe_remaining': 70, 'medium_remaining': 50, 'normal_remaining': 730}, 'S3': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 20, 'medium_remaining': 50, 'normal_remaining': 2000}}"
